student_id,semester_number,year,course_code,study_format,credits_unit,raw_score,current_semester_gpa,cumulative_gpa,previous_courses_taken,previous_credits_earned,weekly_study_hours,attendance_percentage,commute_time_minutes,family_support,study_hours_x_attendance,attendance_x_support,full_interaction_feature,subject_type,expected_difficulty,expected_score_hint,fail_rate_general,fail_rate_major
28211280315,1,2023-2024,CHE 101,LAB,1,7.7,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,CHE 101,LEC,2,6.6,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,CMU-SE 100,LEC,3,8.8,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,CS 201,LEC,2,8.2,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,CS 201,LAB,1,8.2,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,CS 211,LEC,3,9,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,CS 211,LAB,1,9,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,DTE-IS 102,LEC,1,8.3,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,ES 221,DEM,1,7.4,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,IS-ENG 136,LEC,3,7.8,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,STA 151,LEC,2,7.8,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,STA 151,REC,1,7.8,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,MTH 103,,3,8.2,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,MTH 104,,4,6.3,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,LAW 201,,2,7.4,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,POS 151,,2,7.4,,,0,0,,,,,,,,,,,,
28211280315,1,2023-2024,POS 351,,2,7,,,0,0,,,,,,,,,,,,
28211280315,2,2023-2024,CMU-CS 246,LEC,3,8.5,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,CMU-CS 297,DIS,1,7.7,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,CMU-CS 311,LEC,3,7.7,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,CMU-CS 311,LAB,1,8.9,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,CMU-ENG 130,LEC,2,9.6,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,COM 141,LAB,1,7.7,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,IS-ENG 137,LEC,3,7,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,IS-ENG 186,LEC,3,7.5,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,MTH 254,LEC,2,7.5,,,17,34,,,,,,,,,,,,
28211280315,2,2023-2024,MTH 254,LAB,1,7.9,,,17,34,,,,,,,,,,,,
28211280315,Hè,2023-2024,ES 100,LEC,3,7.2,,,27,54,,,,,,,,,,,,
28211280315,Hè,2023-2024,ES 100,DEM,5,8.4,,,27,54,,,,,,,,,,,,
28211280315,1,2024-2025,CMU-CS 303,LEC,2,7.8,,,29,62,,,,,,,,,,,,
28211280315,1,2024-2025,CMU-CS 303,LAB,1,7.6,,,29,62,,,,,,,,,,,,
28211280315,1,2024-2025,CMU-IS 432,LEC,3,6.8,,,29,62,,,,,,,,,,,,
28211280315,1,2024-2025,CMU-SE 252,LEC,3,8.7,,,29,62,,,,,,,,,,,,
28211280315,1,2024-2025,COM 142,CON,1,7.9,,,29,62,,,,,,,,,,,,
28211280315,1,2024-2025,IS 301,LEC,3,,,,29,62,,,,,,,,,,,,
28211280315,1,2024-2025,MTH 291,LEC,3,,,,29,62,,,,,,,,,,,,
28211280315,1,2024-2025,PHI 150,LEC,3,8.8,,,29,62,,,,,,,,,,,,
28211280315,2,2024-2025,CMU-CS 447,PRJ,1,,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,CMU-CS 462,LEC,3,9.7,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,CMU-ENG 230,LEC,2,9.3,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,CMU-SE 214,LEC,3,8.5,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,CS 464,LEC,2,6.4,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,CS 464,LAB,1,,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,ES 101,DEM,1,,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,MTH 203,LEC,3,,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,MTH 204,LAB,1,,,,37,81,,,,,,,,,,,,
28211280315,2,2024-2025,MTH 341,LEC,3,,,,37,81,,,,,,,,,,,,
28211280315,Hè,2024-2025,CMU-IS 401,LEC,3,,,,47,91,,,,,,,,,,,,
28211280315,Hè,2024-2025,CMU-SE 303,LEC,3,,,,47,91,,,,,,,,,,,,
28211280315,Hè,2024-2025,CS 466,LEC,2,,,,47,91,,,,,,,,,,,,
28211280315,Hè,2024-2025,HIS 221,LEC,2,,,,47,91,,,,,,,,,,,,
28211280315,Hè,2024-2025,POS 361,LEC,2,,,,47,91,,,,,,,,,,,,
