student_id,semester_number,year,course_code,study_format,credits_unit,raw_score,current_semester_gpa,cumulative_gpa,previous_courses_taken,previous_credits_earned,weekly_study_hours,attendance_percentage,commute_time_minutes,family_support,attendance_float,study_hours_x_attendance,family_support_x_study_hours,attendance_x_support,mean_score_per_student,std_score_per_student,total_courses,num_failed_courses,gpa_change_rate,subject_type,expected_difficulty,expected_score_hint,avg_attendance_by_subject_type,fail_rate_general,fail_rate_major,attendance_gap_general_vs_major
28201102971,1,2022-2023,CMU-SE 100,LEC,3,6.5,0,0,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2022-2023,CS 201,LEC,2,7.7,0,0,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2022-2023,CS 201,LAB,1,7.7,0,0,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2022-2023,CS 211,LEC,3,6,0,0,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2022-2023,CS 211,LAB,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2022-2023,DTE-IS 102,LEC,1,8.3,0,0,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2022-2023,IS-ENG 136,LEC,3,6.5,0,0,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,CHE 101,LEC,2,5.8,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,CHE 101,LAB,1,5.2,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,CMU-CS 252,LEC,3,5.8,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,CMU-CS 311,LEC,3,6.1,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,CMU-CS 311,LAB,1,6.1,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,DTE-IS 152,WOR,1,8.5,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,ES 101,DEM,1,4.2,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,IS-ENG 137,LEC,3,7.2,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,IS-ENG 186,LEC,3,6.9,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,MTH 103,LEC,2,4.7,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2022-2023,MTH 103,REC,1,4.7,7,14,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2022-2023,COM 141,LAB,1,8.2,18,35,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2022-2023,PHY 101,LAB,1,5.6,18,35,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2022-2023,PHY 101,LEC,2,4.6,18,35,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,CMU-CS 303,LEC,2,6.1,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,CMU-CS 303,LAB,1,6.1,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,CMU-SE 214,LEC,3,6.8,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,ES 226,DEM,1,5.2,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,HIS 222,LEC,2,7.9,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,IS-ENG 187,LEC,3,7.3,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,IS-ENG 236,LEC,3,7.5,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,MTH 104,LEC,3,6.6,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,MTH 104,REC,1,6.6,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2023-2024,PHI 100,LEC,2,7.6,21,39,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,CMU-CS 246,LEC,3,5.7,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,CMU-CS 297,DIS,1,9.4,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,CMU-CS 316,LEC,3,5.4,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,CMU-ENG 130,LEC,2,6.1,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,COM 142,CON,1,7.7,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,ES 276,DEM,1,6.8,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,EVR 205,LEC,2,8.9,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,MTH 254,LEC,2,5,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,MTH 254,LAB,1,5,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,STA 151,REC,1,8.8,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2023-2024,STA 151,LEC,2,5.3,31,60,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2023-2024,ES 100,LEC,3,8.3,42,79,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2023-2024,ES 100,DEM,5,8.3,42,79,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2024-2025,CMU-IS 432,LEC,3,6.9,44,87,,,,,,,,,,,,,,,,,,,,,,
