"student_id","year","semester_number","course_code","course_name","study_format","credits_unit","raw_score","converted_score","converted_numeric_score","current_semester_gpa","cumulative_gpa","previous_courses_taken","previous_credits_earned"
"28211280315","2023-2024","1","CHE 101","Hóa Học Đại Cương","LAB","1","7.70","B+","3.33","7.88","3.38","0","0"
"28211280315","2023-2024","1","CHE 101","Hóa Học Đại Cương","LEC","2","6.60","B-","2.65","7.88","3.38","0","0"
"28211280315","2023-2024","1","CMU-SE 100","Introduction to Software Engineering","LEC","3","8.80","A","4.00","7.88","3.38","0","0"
"28211280315","2023-2024","1","CS 201","Tin Học Ứng Dụng","LEC","2","8.20","A-","3.65","7.88","3.38","0","0"
"28211280315","2023-2024","1","CS 201","Tin Học Ứng Dụng","LAB","1","8.20","A-","3.65","7.88","3.38","0","0"
"28211280315","2023-2024","1","CS 211","Lập Trình Cơ Sở","LEC","3","9.00","A","4.00","7.88","3.38","0","0"
"28211280315","2023-2024","1","CS 211","Lập Trình Cơ Sở","LAB","1","9.00","A","4.00","7.88","3.38","0","0"
"28211280315","2023-2024","1","DTE-IS 102","Hướng Nghiệp 1","LEC","1","8.30","A-","3.65","7.88","3.38","0","0"
"28211280315","2023-2024","1","ES 221","Bóng Đá Sơ Cấp","DEM","1","6.20","P (P/F)","","7.88","3.38","0","0"
"28211280315","2023-2024","1","IS-ENG 136","English for International School - Level 1","LEC","3","7.40","B","3.00","7.88","3.38","0","0"
"28211280315","2023-2024","1","STA 151","Lý Thuyết Xác Suất & Thống Kê Toán","LEC","2","7.80","B+","3.33","7.88","3.38","0","0"
"28211280315","2023-2024","1","STA 151","Lý Thuyết Xác Suất & Thống Kê Toán","REC","1","7.80","B+","3.33","7.88","3.38","0","0"
"28211280315","2023-2024","1","MTH 103","Toán Cao Cấp A1","","3","7.80","B+","3.33","7.88","3.38","0","0"
"28211280315","2023-2024","1","MTH 104","Toán Cao Cấp A2","","4","8.20","A-","3.65","7.88","3.38","0","0"
"28211280315","2023-2024","1","LAW 201","Pháp Luật Đại Cương","","2","6.30","C+","2.33","7.88","3.38","0","0"
"28211280315","2023-2024","1","POS 151","Kinh Tế Chính Trị Marx - Lenin","","2","7.40","B","3.00","7.88","3.38","0","0"
"28211280315","2023-2024","1","POS 351","Chủ Nghĩa Xã Hội Khoa Học","","2","7.40","B","3.00","7.88","3.38","0","0"
"28211280315","2023-2024","2","CMU-CS 246","Application Development Practices","LEC","3","7.00","B","3.00","7.72","3.36","17","34"
"28211280315","2023-2024","2","CMU-CS 297","Đồ Án CDIO","DIS","1","8.50","A","4.00","7.72","3.36","17","34"
"28211280315","2023-2024","2","CMU-CS 311","Object-Oriented Programming C++ (Advanced Concepts in Computing)","LEC","3","7.70","B+","3.33","7.72","3.36","17","34"
"28211280315","2023-2024","2","CMU-CS 311","Object-Oriented Programming C++ (Advanced Concepts in Computing)","LAB","1","7.70","B+","3.33","7.72","3.36","17","34"
